;Payment_Behaviour
2054;Low_spent_Small_value_payments
2055;High_spent_Large_value_payments
2056;High_spent_Large_value_payments
2057;High_spent_Small_value_payments
2058;High_spent_Medium_value_payments
2059;High_spent_Medium_value_payments
2060;High_spent_Medium_value_payments
2061;High_spent_Small_value_payments
2062;High_spent_Medium_value_payments
2063;High_spent_Medium_value_payments
2064;High_spent_Medium_value_payments
2065;Low_spent_Small_value_payments
2066;High_spent_Large_value_payments
2067;High_spent_Medium_value_payments
2068;Low_spent_Small_value_payments
2069;Low_spent_Small_value_payments
2070;Low_spent_Large_value_payments
2071;Low_spent_Small_value_payments
2072;Low_spent_Small_value_payments
2073;Low_spent_Small_value_payments
2074;Low_spent_Small_value_payments
2075;Low_spent_Large_value_payments
2076;High_spent_Large_value_payments
2077;Low_spent_Large_value_payments
2078;Low_spent_Large_value_payments
2079;High_spent_Large_value_payments
2080;Low_spent_Large_value_payments
2081;High_spent_Small_value_payments
2082;Low_spent_Large_value_payments
2083;High_spent_Small_value_payments
2084;Low_spent_Small_value_payments
2085;High_spent_Medium_value_payments
2086;High_spent_Medium_value_payments
2087;High_spent_Large_value_payments
2088;Low_spent_Medium_value_payments
2089;Low_spent_Small_value_payments
2090;Low_spent_Medium_value_payments
2091;Low_spent_Small_value_payments
2092;High_spent_Small_value_payments
2093;Low_spent_Medium_value_payments
2094;High_spent_Medium_value_payments
2095;High_spent_Small_value_payments
2096;Low_spent_Small_value_payments
2097;Low_spent_Small_value_payments
2098;Low_spent_Small_value_payments
2099;Low_spent_Small_value_payments
2100;Low_spent_Large_value_payments
2101;Low_spent_Large_value_payments
2102;Low_spent_Small_value_payments
2103;Low_spent_Large_value_payments
2104;Low_spent_Medium_value_payments
2105;High_spent_Large_value_payments
2106;High_spent_Medium_value_payments
2107;Low_spent_Large_value_payments
2108;Low_spent_Small_value_payments
2109;High_spent_Medium_value_payments
2110;High_spent_Large_value_payments
2111;High_spent_Medium_value_payments
2112;Low_spent_Small_value_payments
2113;Low_spent_Small_value_payments
2114;High_spent_Medium_value_payments
2115;High_spent_Large_value_payments
2116;High_spent_Medium_value_payments
2117;Low_spent_Large_value_payments
2118;Low_spent_Medium_value_payments
2119;High_spent_Medium_value_payments
2120;Low_spent_Small_value_payments
2121;Low_spent_Small_value_payments
2122;High_spent_Large_value_payments
2123;Low_spent_Small_value_payments
2124;Low_spent_Medium_value_payments
2125;Low_spent_Medium_value_payments
2126;High_spent_Medium_value_payments
2127;Low_spent_Small_value_payments
2128;Low_spent_Small_value_payments
2129;Low_spent_Small_value_payments
2130;High_spent_Medium_value_payments
2131;Low_spent_Medium_value_payments
2132;High_spent_Medium_value_payments
2133;Low_spent_Small_value_payments
2134;Low_spent_Small_value_payments
2135;High_spent_Medium_value_payments
2136;High_spent_Small_value_payments
2137;High_spent_Large_value_payments
2138;High_spent_Large_value_payments
2139;Low_spent_Medium_value_payments
2140;Low_spent_Small_value_payments
2141;High_spent_Large_value_payments
2142;High_spent_Small_value_payments
2143;Low_spent_Small_value_payments
2144;High_spent_Large_value_payments
2145;High_spent_Medium_value_payments
2146;High_spent_Large_value_payments
2147;Low_spent_Medium_value_payments
2148;Low_spent_Medium_value_payments
2149;Low_spent_Large_value_payments
2150;Low_spent_Small_value_payments
2151;Low_spent_Small_value_payments
2152;Low_spent_Small_value_payments
2153;Low_spent_Medium_value_payments
2154;Low_spent_Small_value_payments
2155;Low_spent_Small_value_payments
2156;Low_spent_Small_value_payments
2157;Low_spent_Small_value_payments
2158;Low_spent_Large_value_payments
2159;Low_spent_Small_value_payments
2160;Low_spent_Small_value_payments
2161;Low_spent_Medium_value_payments
2162;High_spent_Large_value_payments
2163;High_spent_Large_value_payments
2164;Low_spent_Small_value_payments
2165;High_spent_Small_value_payments
2166;Low_spent_Medium_value_payments
2167;Low_spent_Large_value_payments
2168;High_spent_Medium_value_payments
2169;Low_spent_Medium_value_payments
2170;Low_spent_Medium_value_payments
2171;Low_spent_Large_value_payments
2172;High_spent_Medium_value_payments
2173;Low_spent_Small_value_payments
2174;Low_spent_Medium_value_payments
2175;High_spent_Medium_value_payments
2176;Low_spent_Large_value_payments
2177;High_spent_Medium_value_payments
2178;Low_spent_Large_value_payments
2179;Low_spent_Medium_value_payments
2180;High_spent_Medium_value_payments
2181;High_spent_Small_value_payments
2182;High_spent_Small_value_payments
2183;High_spent_Large_value_payments
2184;High_spent_Medium_value_payments
2185;High_spent_Medium_value_payments
2186;High_spent_Medium_value_payments
2187;High_spent_Large_value_payments
2188;Low_spent_Medium_value_payments
2189;High_spent_Medium_value_payments
2190;High_spent_Small_value_payments
2191;High_spent_Medium_value_payments
2192;High_spent_Medium_value_payments
2193;High_spent_Large_value_payments
2194;High_spent_Large_value_payments
2195;High_spent_Medium_value_payments
2196;High_spent_Medium_value_payments
2197;High_spent_Large_value_payments
2198;Low_spent_Medium_value_payments
2199;Low_spent_Small_value_payments
2200;Low_spent_Small_value_payments
2201;High_spent_Medium_value_payments
2202;High_spent_Large_value_payments
2203;Low_spent_Small_value_payments
2204;Low_spent_Small_value_payments
2205;Low_spent_Medium_value_payments
2206;Low_spent_Medium_value_payments
2207;Low_spent_Small_value_payments
2208;High_spent_Small_value_payments
2209;Low_spent_Medium_value_payments
2210;High_spent_Large_value_payments
2211;Low_spent_Small_value_payments
2212;Low_spent_Large_value_payments
2213;Low_spent_Medium_value_payments
2214;Low_spent_Medium_value_payments
2215;Low_spent_Medium_value_payments
2216;High_spent_Small_value_payments
2217;Low_spent_Small_value_payments
2218;Low_spent_Small_value_payments
2219;High_spent_Small_value_payments
2220;Low_spent_Large_value_payments
2221;High_spent_Small_value_payments
2222;High_spent_Medium_value_payments
2223;High_spent_Medium_value_payments
2224;High_spent_Medium_value_payments
2225;High_spent_Small_value_payments
2226;Low_spent_Small_value_payments
2227;Low_spent_Small_value_payments
2228;High_spent_Small_value_payments
2229;Low_spent_Small_value_payments
2230;Low_spent_Small_value_payments
2231;High_spent_Medium_value_payments
2232;Low_spent_Large_value_payments
2233;Low_spent_Small_value_payments
2234;High_spent_Large_value_payments
2235;Low_spent_Small_value_payments
2236;High_spent_Medium_value_payments
2237;Low_spent_Medium_value_payments
2238;Low_spent_Large_value_payments
2239;Low_spent_Medium_value_payments
2240;Low_spent_Medium_value_payments
2241;Low_spent_Small_value_payments
2242;Low_spent_Medium_value_payments
2243;High_spent_Medium_value_payments
2244;Low_spent_Medium_value_payments
2245;Low_spent_Medium_value_payments
2246;Low_spent_Large_value_payments
2247;Low_spent_Medium_value_payments
2248;Low_spent_Small_value_payments
2249;Low_spent_Small_value_payments
2250;Low_spent_Small_value_payments
2251;Low_spent_Small_value_payments
2252;Low_spent_Small_value_payments
2253;High_spent_Large_value_payments
2254;High_spent_Large_value_payments
2255;Low_spent_Small_value_payments
2256;Low_spent_Medium_value_payments
2257;Low_spent_Medium_value_payments
2258;Low_spent_Large_value_payments
2259;High_spent_Medium_value_payments
2260;Low_spent_Large_value_payments
2261;Low_spent_Large_value_payments
2262;Low_spent_Medium_value_payments
2263;Low_spent_Small_value_payments
2264;High_spent_Medium_value_payments
2265;Low_spent_Large_value_payments
2266;Low_spent_Medium_value_payments
2267;Low_spent_Medium_value_payments
2268;Low_spent_Small_value_payments
2269;Low_spent_Small_value_payments
2270;High_spent_Large_value_payments
2271;Low_spent_Small_value_payments
2272;Low_spent_Small_value_payments
2273;Low_spent_Large_value_payments
2274;Low_spent_Small_value_payments
2275;Low_spent_Small_value_payments
2276;High_spent_Medium_value_payments
2277;Low_spent_Large_value_payments
2278;Low_spent_Medium_value_payments
2279;High_spent_Medium_value_payments
2280;High_spent_Medium_value_payments
2281;High_spent_Medium_value_payments
2282;Low_spent_Large_value_payments
2283;High_spent_Medium_value_payments
2284;Low_spent_Small_value_payments
2285;Low_spent_Small_value_payments
2286;High_spent_Large_value_payments
2287;Low_spent_Medium_value_payments
2288;Low_spent_Medium_value_payments
2289;Low_spent_Large_value_payments
2290;High_spent_Small_value_payments
2291;Low_spent_Large_value_payments
2292;High_spent_Large_value_payments
2293;Low_spent_Medium_value_payments
2294;Low_spent_Large_value_payments
2295;High_spent_Medium_value_payments
2296;Low_spent_Medium_value_payments
2297;Low_spent_Small_value_payments
2298;High_spent_Large_value_payments
2299;Low_spent_Medium_value_payments
2300;Low_spent_Large_value_payments
2301;Low_spent_Medium_value_payments
2302;Low_spent_Small_value_payments
2303;High_spent_Large_value_payments
2304;High_spent_Large_value_payments
2305;High_spent_Medium_value_payments
2306;High_spent_Large_value_payments
2307;Low_spent_Large_value_payments
2308;Low_spent_Large_value_payments
2309;Low_spent_Large_value_payments
2310;Low_spent_Large_value_payments
2311;Low_spent_Large_value_payments
2312;Low_spent_Small_value_payments
2313;High_spent_Small_value_payments
2314;High_spent_Large_value_payments
2315;High_spent_Large_value_payments
2316;Low_spent_Small_value_payments
2317;High_spent_Small_value_payments
2318;Low_spent_Medium_value_payments
2319;Low_spent_Medium_value_payments
2320;Low_spent_Small_value_payments
2321;Low_spent_Small_value_payments
2322;Low_spent_Small_value_payments
2323;Low_spent_Large_value_payments
2324;Low_spent_Large_value_payments
2325;High_spent_Large_value_payments
2326;High_spent_Small_value_payments
2327;High_spent_Small_value_payments
2328;High_spent_Large_value_payments
2329;High_spent_Medium_value_payments
2330;Low_spent_Small_value_payments
2331;Low_spent_Small_value_payments
2332;Low_spent_Large_value_payments
2333;Low_spent_Small_value_payments
2334;High_spent_Small_value_payments
2335;High_spent_Large_value_payments
2336;Low_spent_Medium_value_payments
2337;High_spent_Small_value_payments
2338;Low_spent_Small_value_payments
2339;Low_spent_Small_value_payments
2340;High_spent_Medium_value_payments
2341;High_spent_Medium_value_payments
2342;Low_spent_Small_value_payments
2343;High_spent_Small_value_payments
2344;High_spent_Small_value_payments
2345;High_spent_Medium_value_payments
2346;High_spent_Small_value_payments
2347;High_spent_Medium_value_payments
2348;Low_spent_Small_value_payments
2349;High_spent_Medium_value_payments
2350;High_spent_Large_value_payments
2351;Low_spent_Large_value_payments
2352;High_spent_Medium_value_payments
2353;Low_spent_Large_value_payments
2354;Low_spent_Large_value_payments
2355;High_spent_Medium_value_payments
2356;Low_spent_Small_value_payments
2357;Low_spent_Small_value_payments
2358;Low_spent_Small_value_payments
2359;Low_spent_Medium_value_payments
2360;Low_spent_Small_value_payments
2361;High_spent_Medium_value_payments
2362;Low_spent_Medium_value_payments
2363;High_spent_Small_value_payments
2364;High_spent_Large_value_payments
2365;Low_spent_Large_value_payments
2366;High_spent_Medium_value_payments
2367;Low_spent_Medium_value_payments
2368;High_spent_Medium_value_payments
2369;Low_spent_Medium_value_payments
2370;Low_spent_Small_value_payments
2371;High_spent_Medium_value_payments
2372;High_spent_Large_value_payments
2373;High_spent_Small_value_payments
2374;High_spent_Large_value_payments
2375;Low_spent_Medium_value_payments
2376;Low_spent_Small_value_payments
2377;Low_spent_Small_value_payments
2378;Low_spent_Small_value_payments
2379;Low_spent_Medium_value_payments
2380;High_spent_Small_value_payments
2381;Low_spent_Medium_value_payments
2382;Low_spent_Small_value_payments
2383;High_spent_Medium_value_payments
2384;Low_spent_Large_value_payments
2385;Low_spent_Medium_value_payments
2386;Low_spent_Small_value_payments
2387;Low_spent_Medium_value_payments
2388;High_spent_Medium_value_payments
2389;High_spent_Small_value_payments
2390;Low_spent_Small_value_payments
2391;High_spent_Medium_value_payments
2392;Low_spent_Medium_value_payments
2393;Low_spent_Large_value_payments
2394;High_spent_Small_value_payments
2395;Low_spent_Large_value_payments
2396;Low_spent_Small_value_payments
2397;High_spent_Large_value_payments
2398;Low_spent_Small_value_payments
2399;Low_spent_Small_value_payments
2400;Low_spent_Small_value_payments
2401;Low_spent_Small_value_payments
2402;High_spent_Small_value_payments
2403;Low_spent_Medium_value_payments
2404;High_spent_Large_value_payments
2405;High_spent_Small_value_payments
2406;High_spent_Large_value_payments
2407;Low_spent_Small_value_payments
2408;High_spent_Large_value_payments
2409;Low_spent_Large_value_payments
2410;High_spent_Small_value_payments
2411;Low_spent_Large_value_payments
2412;High_spent_Medium_value_payments
2413;High_spent_Medium_value_payments
2414;High_spent_Small_value_payments
2415;High_spent_Large_value_payments
2416;Low_spent_Small_value_payments
2417;High_spent_Large_value_payments
2418;Low_spent_Small_value_payments
2419;Low_spent_Large_value_payments
2420;Low_spent_Small_value_payments
2421;Low_spent_Medium_value_payments
2422;Low_spent_Large_value_payments
2423;Low_spent_Small_value_payments
2424;Low_spent_Small_value_payments
2425;High_spent_Medium_value_payments
2426;High_spent_Small_value_payments
2427;Low_spent_Small_value_payments
2428;High_spent_Medium_value_payments
2429;Low_spent_Small_value_payments
2430;Low_spent_Medium_value_payments
2431;Low_spent_Medium_value_payments
2432;Low_spent_Medium_value_payments
2433;Low_spent_Medium_value_payments
2434;Low_spent_Large_value_payments
2435;Low_spent_Small_value_payments
2436;High_spent_Medium_value_payments
2437;Low_spent_Medium_value_payments
2438;Low_spent_Medium_value_payments
2439;Low_spent_Small_value_payments
2440;High_spent_Small_value_payments
2441;Low_spent_Small_value_payments
2442;Low_spent_Small_value_payments
2443;Low_spent_Small_value_payments
2444;High_spent_Large_value_payments
2445;Low_spent_Small_value_payments
2446;High_spent_Small_value_payments
2447;Low_spent_Medium_value_payments
2448;High_spent_Medium_value_payments
2449;High_spent_Small_value_payments
2450;Low_spent_Small_value_payments
2451;Low_spent_Small_value_payments
2452;Low_spent_Large_value_payments
2453;High_spent_Medium_value_payments
2454;Low_spent_Small_value_payments
2455;Low_spent_Small_value_payments
2456;Low_spent_Small_value_payments
2457;Low_spent_Small_value_payments
2458;Low_spent_Medium_value_payments
2459;Low_spent_Medium_value_payments
2460;High_spent_Small_value_payments
2461;Low_spent_Medium_value_payments
2462;Low_spent_Large_value_payments
2463;Low_spent_Small_value_payments
2464;High_spent_Large_value_payments
2465;Low_spent_Large_value_payments
2466;High_spent_Small_value_payments
2467;High_spent_Medium_value_payments
2468;Low_spent_Small_value_payments
2469;High_spent_Medium_value_payments
2470;High_spent_Large_value_payments
2471;High_spent_Medium_value_payments
2472;Low_spent_Small_value_payments
2473;Low_spent_Medium_value_payments
2474;High_spent_Large_value_payments
2475;High_spent_Medium_value_payments
2476;Low_spent_Medium_value_payments
2477;Low_spent_Small_value_payments
2478;Low_spent_Small_value_payments
2479;Low_spent_Large_value_payments
2480;Low_spent_Medium_value_payments
2481;High_spent_Medium_value_payments
2482;Low_spent_Large_value_payments
2483;High_spent_Medium_value_payments
2484;Low_spent_Large_value_payments
2485;Low_spent_Medium_value_payments
2486;High_spent_Large_value_payments
2487;High_spent_Medium_value_payments
2488;Low_spent_Medium_value_payments
2489;High_spent_Large_value_payments
2490;High_spent_Large_value_payments
2491;Low_spent_Small_value_payments
2492;Low_spent_Small_value_payments
2493;Low_spent_Small_value_payments
2494;High_spent_Large_value_payments
2495;High_spent_Small_value_payments
2496;High_spent_Large_value_payments
2497;Low_spent_Medium_value_payments
2498;Low_spent_Small_value_payments
2499;Low_spent_Medium_value_payments
2500;High_spent_Small_value_payments
2501;Low_spent_Medium_value_payments
2502;Low_spent_Small_value_payments
2503;High_spent_Medium_value_payments
2504;High_spent_Medium_value_payments
2505;High_spent_Small_value_payments
2506;Low_spent_Small_value_payments
2507;Low_spent_Medium_value_payments
2508;Low_spent_Medium_value_payments
2509;High_spent_Small_value_payments
2510;Low_spent_Small_value_payments
2511;Low_spent_Small_value_payments
2512;Low_spent_Large_value_payments
2513;Low_spent_Medium_value_payments
2514;Low_spent_Medium_value_payments
2515;Low_spent_Small_value_payments
2516;Low_spent_Large_value_payments
2517;Low_spent_Medium_value_payments
2518;High_spent_Small_value_payments
2519;Low_spent_Large_value_payments
2520;Low_spent_Small_value_payments
2521;Low_spent_Medium_value_payments
2522;Low_spent_Small_value_payments
2523;High_spent_Large_value_payments
2524;Low_spent_Small_value_payments
2525;Low_spent_Small_value_payments
2526;Low_spent_Small_value_payments
2527;Low_spent_Medium_value_payments
2528;Low_spent_Small_value_payments
2529;Low_spent_Small_value_payments
2530;High_spent_Medium_value_payments
2531;Low_spent_Medium_value_payments
2532;High_spent_Medium_value_payments
2533;Low_spent_Large_value_payments
2534;High_spent_Small_value_payments
2535;High_spent_Medium_value_payments
2536;High_spent_Medium_value_payments
2537;Low_spent_Medium_value_payments
2538;High_spent_Small_value_payments
2539;Low_spent_Small_value_payments
2540;Low_spent_Medium_value_payments
2541;Low_spent_Small_value_payments
2542;Low_spent_Small_value_payments
2543;High_spent_Small_value_payments
2544;High_spent_Large_value_payments
2545;High_spent_Medium_value_payments
2546;High_spent_Medium_value_payments
2547;High_spent_Large_value_payments
2548;High_spent_Medium_value_payments
2549;Low_spent_Small_value_payments
2550;High_spent_Large_value_payments
2551;High_spent_Small_value_payments
2552;Low_spent_Medium_value_payments
2553;Low_spent_Large_value_payments
2554;High_spent_Medium_value_payments
2555;Low_spent_Medium_value_payments
2556;High_spent_Large_value_payments
2557;Low_spent_Small_value_payments
2558;Low_spent_Small_value_payments
2559;Low_spent_Medium_value_payments
2560;High_spent_Medium_value_payments
2561;High_spent_Large_value_payments
2562;Low_spent_Large_value_payments
2563;High_spent_Medium_value_payments
2564;Low_spent_Small_value_payments
2565;Low_spent_Small_value_payments
2566;Low_spent_Medium_value_payments
2567;Low_spent_Small_value_payments
2568;Low_spent_Large_value_payments
2569;High_spent_Small_value_payments
2570;High_spent_Medium_value_payments
2571;High_spent_Medium_value_payments
2572;Low_spent_Small_value_payments
2573;Low_spent_Small_value_payments
2574;High_spent_Medium_value_payments
2575;High_spent_Large_value_payments
2576;High_spent_Small_value_payments
2577;Low_spent_Small_value_payments
2578;High_spent_Medium_value_payments
2579;Low_spent_Medium_value_payments
2580;High_spent_Small_value_payments
2581;Low_spent_Small_value_payments
2582;Low_spent_Medium_value_payments
2583;High_spent_Small_value_payments
2584;High_spent_Large_value_payments
2585;Low_spent_Small_value_payments
2586;Low_spent_Small_value_payments
2587;Low_spent_Large_value_payments
2588;Low_spent_Medium_value_payments
2589;Low_spent_Small_value_payments
2590;Low_spent_Small_value_payments
2591;High_spent_Large_value_payments
2592;High_spent_Medium_value_payments
2593;Low_spent_Small_value_payments
2594;High_spent_Medium_value_payments
2595;Low_spent_Small_value_payments
2596;Low_spent_Small_value_payments
2597;High_spent_Medium_value_payments
2598;High_spent_Medium_value_payments
2599;Low_spent_Large_value_payments
2600;Low_spent_Medium_value_payments
2601;Low_spent_Large_value_payments
2602;High_spent_Medium_value_payments
2603;Low_spent_Medium_value_payments
2604;High_spent_Small_value_payments
2605;High_spent_Small_value_payments
2606;Low_spent_Small_value_payments
2607;High_spent_Small_value_payments
2608;High_spent_Small_value_payments
2609;High_spent_Large_value_payments
2610;High_spent_Small_value_payments
2611;High_spent_Medium_value_payments
2612;High_spent_Small_value_payments
2613;High_spent_Medium_value_payments
2614;Low_spent_Small_value_payments
2615;Low_spent_Medium_value_payments
2616;High_spent_Medium_value_payments
2617;High_spent_Small_value_payments
2618;High_spent_Medium_value_payments
2619;High_spent_Large_value_payments
2620;High_spent_Small_value_payments
2621;High_spent_Large_value_payments
2622;Low_spent_Medium_value_payments
2623;High_spent_Large_value_payments
2624;Low_spent_Small_value_payments
2625;High_spent_Large_value_payments
2626;High_spent_Large_value_payments
2627;Low_spent_Small_value_payments
2628;Low_spent_Medium_value_payments
2629;Low_spent_Medium_value_payments
2630;Low_spent_Small_value_payments
2631;Low_spent_Small_value_payments
2632;Low_spent_Small_value_payments
2633;Low_spent_Small_value_payments
2634;Low_spent_Small_value_payments
2635;High_spent_Medium_value_payments
2636;Low_spent_Small_value_payments
2637;High_spent_Large_value_payments
2638;Low_spent_Small_value_payments
2639;Low_spent_Small_value_payments
2640;High_spent_Large_value_payments
2641;Low_spent_Small_value_payments
2642;High_spent_Large_value_payments
2643;Low_spent_Large_value_payments
2644;Low_spent_Small_value_payments
2645;High_spent_Large_value_payments
2646;Low_spent_Large_value_payments
2647;Low_spent_Small_value_payments
2648;Low_spent_Small_value_payments
2649;High_spent_Large_value_payments
2650;High_spent_Small_value_payments
2651;High_spent_Small_value_payments
2652;High_spent_Medium_value_payments
2653;High_spent_Medium_value_payments
2654;Low_spent_Small_value_payments
2655;Low_spent_Medium_value_payments
2656;Low_spent_Large_value_payments
2657;High_spent_Medium_value_payments
2658;High_spent_Large_value_payments
2659;High_spent_Medium_value_payments
2660;Low_spent_Large_value_payments
2661;Low_spent_Large_value_payments
2662;Low_spent_Large_value_payments
2663;Low_spent_Medium_value_payments
2664;Low_spent_Medium_value_payments
2665;High_spent_Medium_value_payments
2666;Low_spent_Small_value_payments
2667;High_spent_Small_value_payments
2668;High_spent_Small_value_payments
2669;Low_spent_Medium_value_payments
2670;High_spent_Medium_value_payments
2671;High_spent_Large_value_payments
2672;High_spent_Medium_value_payments
2673;Low_spent_Medium_value_payments
2674;High_spent_Medium_value_payments
2675;High_spent_Medium_value_payments
2676;Low_spent_Medium_value_payments
2677;Low_spent_Large_value_payments
2678;High_spent_Medium_value_payments
2679;High_spent_Medium_value_payments
2680;Low_spent_Small_value_payments
2681;High_spent_Large_value_payments
2682;Low_spent_Medium_value_payments
2683;High_spent_Medium_value_payments
2684;High_spent_Large_value_payments
2685;Low_spent_Large_value_payments
2686;Low_spent_Medium_value_payments
2687;Low_spent_Medium_value_payments
2688;Low_spent_Medium_value_payments
2689;High_spent_Medium_value_payments
2690;Low_spent_Small_value_payments
2691;Low_spent_Small_value_payments
2692;Low_spent_Small_value_payments
2693;Low_spent_Large_value_payments
2694;Low_spent_Large_value_payments
2695;Low_spent_Small_value_payments
2696;High_spent_Medium_value_payments
2697;High_spent_Medium_value_payments
2698;High_spent_Medium_value_payments
2699;High_spent_Medium_value_payments
2700;High_spent_Medium_value_payments
2701;Low_spent_Small_value_payments
2702;Low_spent_Medium_value_payments
2703;Low_spent_Small_value_payments
2704;Low_spent_Small_value_payments
2705;Low_spent_Small_value_payments
2706;Low_spent_Small_value_payments
2707;Low_spent_Medium_value_payments
2708;High_spent_Small_value_payments
2709;Low_spent_Medium_value_payments
2710;High_spent_Medium_value_payments
2711;High_spent_Small_value_payments
2712;High_spent_Medium_value_payments
2713;High_spent_Medium_value_payments
2714;High_spent_Large_value_payments
2715;Low_spent_Small_value_payments
2716;High_spent_Large_value_payments
2717;Low_spent_Small_value_payments
2718;Low_spent_Medium_value_payments
2719;High_spent_Small_value_payments
2720;Low_spent_Small_value_payments
2721;High_spent_Medium_value_payments
2722;High_spent_Small_value_payments
2723;High_spent_Large_value_payments
2724;Low_spent_Medium_value_payments
2725;High_spent_Medium_value_payments
2726;Low_spent_Medium_value_payments
2727;Low_spent_Small_value_payments
2728;Low_spent_Small_value_payments
2729;High_spent_Small_value_payments
2730;Low_spent_Small_value_payments
2731;High_spent_Large_value_payments
2732;High_spent_Medium_value_payments
2733;Low_spent_Medium_value_payments
2734;High_spent_Large_value_payments
2735;High_spent_Medium_value_payments
2736;Low_spent_Large_value_payments
2737;Low_spent_Small_value_payments
2738;High_spent_Small_value_payments
2739;Low_spent_Medium_value_payments
2740;Low_spent_Large_value_payments
2741;Low_spent_Small_value_payments
2742;Low_spent_Large_value_payments
2743;High_spent_Medium_value_payments
2744;Low_spent_Small_value_payments
2745;High_spent_Medium_value_payments
2746;High_spent_Large_value_payments
2747;High_spent_Small_value_payments
2748;Low_spent_Small_value_payments
2749;Low_spent_Small_value_payments
2750;High_spent_Medium_value_payments
2751;High_spent_Medium_value_payments
2752;Low_spent_Small_value_payments
2753;Low_spent_Small_value_payments
2754;High_spent_Large_value_payments
2755;Low_spent_Small_value_payments
2756;High_spent_Medium_value_payments
2757;High_spent_Medium_value_payments
2758;Low_spent_Large_value_payments
2759;Low_spent_Medium_value_payments
2760;Low_spent_Small_value_payments
2761;Low_spent_Medium_value_payments
2762;Low_spent_Medium_value_payments
2763;High_spent_Small_value_payments
2764;Low_spent_Small_value_payments
2765;Low_spent_Small_value_payments
2766;Low_spent_Medium_value_payments
2767;Low_spent_Medium_value_payments
2768;High_spent_Medium_value_payments
2769;Low_spent_Medium_value_payments
2770;Low_spent_Small_value_payments
2771;Low_spent_Small_value_payments
2772;Low_spent_Small_value_payments
2773;High_spent_Medium_value_payments
2774;High_spent_Medium_value_payments
2775;High_spent_Medium_value_payments
2776;Low_spent_Small_value_payments
2777;High_spent_Large_value_payments
2778;High_spent_Small_value_payments
2779;Low_spent_Medium_value_payments
2780;High_spent_Medium_value_payments
2781;Low_spent_Small_value_payments
2782;High_spent_Small_value_payments
2783;High_spent_Medium_value_payments
2784;Low_spent_Large_value_payments
2785;High_spent_Small_value_payments
2786;High_spent_Medium_value_payments
2787;High_spent_Large_value_payments
2788;Low_spent_Medium_value_payments
2789;Low_spent_Small_value_payments
2790;Low_spent_Medium_value_payments
2791;Low_spent_Medium_value_payments
2792;Low_spent_Medium_value_payments
2793;Low_spent_Large_value_payments
2794;High_spent_Medium_value_payments
2795;High_spent_Medium_value_payments
2796;High_spent_Large_value_payments
2797;Low_spent_Small_value_payments
2798;Low_spent_Small_value_payments
2799;Low_spent_Small_value_payments
2800;High_spent_Large_value_payments
2801;High_spent_Medium_value_payments
2802;Low_spent_Small_value_payments
2803;High_spent_Large_value_payments
2804;Low_spent_Medium_value_payments
2805;Low_spent_Small_value_payments
2806;Low_spent_Large_value_payments
2807;High_spent_Medium_value_payments
2808;Low_spent_Small_value_payments
2809;High_spent_Large_value_payments
2810;High_spent_Medium_value_payments
2811;Low_spent_Small_value_payments
2812;Low_spent_Small_value_payments
2813;High_spent_Large_value_payments
2814;High_spent_Large_value_payments
2815;High_spent_Medium_value_payments
2816;Low_spent_Small_value_payments
2817;Low_spent_Medium_value_payments
2818;Low_spent_Small_value_payments
2819;High_spent_Medium_value_payments
2820;High_spent_Medium_value_payments
2821;Low_spent_Small_value_payments
2822;Low_spent_Small_value_payments
2823;High_spent_Large_value_payments
2824;Low_spent_Medium_value_payments
2825;Low_spent_Medium_value_payments
2826;Low_spent_Small_value_payments
2827;High_spent_Medium_value_payments
2828;Low_spent_Medium_value_payments
2829;Low_spent_Small_value_payments
2830;Low_spent_Small_value_payments
2831;Low_spent_Small_value_payments
2832;High_spent_Large_value_payments
2833;Low_spent_Small_value_payments
2834;Low_spent_Small_value_payments
2835;Low_spent_Medium_value_payments
2836;Low_spent_Small_value_payments
2837;High_spent_Small_value_payments
2838;High_spent_Small_value_payments
2839;Low_spent_Small_value_payments
2840;Low_spent_Small_value_payments
2841;High_spent_Small_value_payments
2842;Low_spent_Large_value_payments
2843;Low_spent_Small_value_payments
2844;High_spent_Large_value_payments
2845;Low_spent_Large_value_payments
2846;Low_spent_Large_value_payments
2847;Low_spent_Medium_value_payments
2848;Low_spent_Medium_value_payments
2849;Low_spent_Medium_value_payments
2850;Low_spent_Small_value_payments
2851;Low_spent_Small_value_payments
2852;High_spent_Large_value_payments
2853;High_spent_Medium_value_payments
2854;High_spent_Medium_value_payments
2855;Low_spent_Large_value_payments
2856;High_spent_Small_value_payments
2857;High_spent_Large_value_payments
2858;High_spent_Large_value_payments
2859;Low_spent_Medium_value_payments
2860;High_spent_Large_value_payments
2861;High_spent_Small_value_payments
2862;Low_spent_Small_value_payments
2863;Low_spent_Medium_value_payments
2864;Low_spent_Small_value_payments
2865;Low_spent_Small_value_payments
2866;High_spent_Large_value_payments
2867;High_spent_Medium_value_payments
2868;High_spent_Small_value_payments
2869;Low_spent_Medium_value_payments
2870;High_spent_Medium_value_payments
2871;High_spent_Medium_value_payments
2872;High_spent_Large_value_payments
2873;Low_spent_Medium_value_payments
2874;Low_spent_Medium_value_payments
2875;Low_spent_Small_value_payments
2876;Low_spent_Medium_value_payments
2877;Low_spent_Small_value_payments
2878;High_spent_Small_value_payments
